Titre;description;lien;filtres;image;auteur.ice
Purification et récupération CO2;"";https://github.com/Konsilion/PicoJoule_Data/blob/master/Epuration/Dossier%20purification%20biogaz%20-%20r%C3%A9cup%C3%A9ration%20CO2%20-%20GRDF.pdf;filtre1 s_f2;https://static.wixstatic.com/media/9c0294_10806d3e86b04622b058669f09f2be9c~mv2.png/v1/fill/w_540,h_146,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/banni%C3%A8reinternet_edited.png;Felix Dupuy
Séparation CO2 par pression;"";https://github.com/Konsilion/PicoJoule_Data/blob/master/Epuration/Dossier%20s%C3%A9paration%20CO2%20par%20pression.odt?raw=true;filtre1 s_f2;"";PicoJoule
ACV Biométhane agricole;Rapport de l'INRAE;https://github.com/Konsilion/PicoJoule_Data/blob/master/ACV/Rapport%20ACV_Biomethane%20issu%20de%20ressources%20agricoles_INRAE%20Transfert_GRDF....pdf;filtre1 s_f1;https://www.talentdetection.com/Users/Media/GetCompanyLogosImage?companyId=49522&hash=49522-zwHX3fknxJ-293937157.png;INRAE Transfert
Impacts filière compostage et méthanisation;"";https://github.com/Konsilion/PicoJoule_Data/blob/master/ACV/acv_impact_filiere_compostage_methanisation_rapport_.pdf;filtre1 s_f1;https://upload.wikimedia.org/wikipedia/fr/thumb/6/67/Logo_ADEME.svg/1200px-Logo_ADEME.svg.png;ADEME
Mise en place d'un laboratoire de Picométhanisation;"";https://github.com/Konsilion/PicoJoule_Data/blob/master/Stages/CR_Stage_PicoJoule.pdf;filtre1 s_f3;https://static.wixstatic.com/media/9c0294_10806d3e86b04622b058669f09f2be9c~mv2.png/v1/fill/w_540,h_146,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/banni%C3%A8reinternet_edited.png;Juliette BOLEAT
